MONYEAR,BP,SIZE,STEMS,BU
1995,5_1,A,0,5
1995,5_1,B,0,5
1995,5_1,C,5,5
1995,5_1,D,2,5
1995,5_1,E,0,5
1995,5_1,F,2,5
1995,5_1,G,2,5
1995,5_1,H,0,5
1995,5_1,I,0,5
1995,5_1,J,1,5
1995,5_1,SEEDLING,3,5
1995,5_2,A,0,5
1995,5_2,B,0,5
1995,5_2,C,1,5
1995,5_2,D,2,5
1995,5_2,E,0,5
1995,5_2,F,3,5
1995,5_2,G,4,5
1995,5_2,H,0,5
1995,5_2,I,0,5
1995,5_2,J,0,5
1995,5_2,SEEDLING,3,5
1995,5_3,A,0,5
1995,5_3,B,0,5
1995,5_3,C,0,5
1995,5_3,D,0,5
1995,5_3,E,1,5
1995,5_3,F,3,5
1995,5_3,G,0,5
1995,5_3,H,2,5
1995,5_3,I,0,5
1995,5_3,J,0,5
1995,5_3,SEEDLING,1,5
1995,5_4,A,0,5
1995,5_4,B,0,5
1995,5_4,C,0,5
1995,5_4,D,0,5
1995,5_4,E,0,5
1995,5_4,F,0,5
1995,5_4,G,0,5
1995,5_4,H,0,5
1995,5_4,I,1,5
1995,5_4,J,0,5
1995,5_4,SEEDLING,1,5
1995,5_5,A,0,5
1995,5_5,B,0,5
1995,5_5,C,0,5
1995,5_5,D,0,5
1995,5_5,E,2,5
1995,5_5,F,3,5
1995,5_5,G,0,5
1995,5_5,H,1,5
1995,5_5,I,0,5
1995,5_5,J,1,5
1995,5_5,SEEDLING,2,5
1995,5_6,A,0,5
1995,5_6,B,0,5
1995,5_6,C,0,5
1995,5_6,D,0,5
1995,5_6,E,0,5
1995,5_6,F,1,5
1995,5_6,G,0,5
1995,5_6,H,1,5
1995,5_6,I,0,5
1995,5_6,J,0,5
1995,5_6,SEEDLING,3,5
1997,5_1,A,0,5
1997,5_1,B,3,5
1997,5_1,C,3,5
1997,5_1,D,2,5
1997,5_1,E,2,5
1997,5_1,F,3,5
1997,5_1,G,3,5
1997,5_1,H,0,5
1997,5_1,I,0,5
1997,5_1,J,1,5
1997,5_1,SEEDLING,3,5
1997,5_2,A,2,5
1997,5_2,B,0,5
1997,5_2,C,0,5
1997,5_2,D,1,5
1997,5_2,E,1,5
1997,5_2,F,1,5
1997,5_2,G,4,5
1997,5_2,H,1,5
1997,5_2,I,0,5
1997,5_2,J,0,5
1997,5_2,SEEDLING,3,5
1997,5_3,A,1,5
1997,5_3,B,0,5
1997,5_3,C,0,5
1997,5_3,D,0,5
1997,5_3,E,0,5
1997,5_3,F,0,5
1997,5_3,G,2,5
1997,5_3,H,0,5
1997,5_3,I,20,5
1997,5_3,J,0,5
1997,5_3,SEEDLING,1,5
1997,5_4,A,0,5
1997,5_4,B,1,5
1997,5_4,C,0,5
1997,5_4,D,0,5
1997,5_4,E,0,5
1997,5_4,F,0,5
1997,5_4,G,0,5
1997,5_4,H,0,5
1997,5_4,I,1,5
1997,5_4,J,0,5
1997,5_4,SEEDLING,3,5
1997,5_5,A,1,5
1997,5_5,B,1,5
1997,5_5,C,0,5
1997,5_5,D,0,5
1997,5_5,E,0,5
1997,5_5,F,3,5
1997,5_5,G,2,5
1997,5_5,H,0,5
1997,5_5,I,0,5
1997,5_5,J,1,5
1997,5_5,SEEDLING,3,5
1997,5_6,A,2,5
1997,5_6,B,0,5
1997,5_6,C,0,5
1997,5_6,D,1,5
1997,5_6,E,0,5
1997,5_6,F,1,5
1997,5_6,G,1,5
1997,5_6,H,1,5
1997,5_6,I,0,5
1997,5_6,J,0,5
1997,5_6,SEEDLING,3,5
2000,5_1,A,9,5
2000,5_1,B,12,5
2000,5_1,C,4,5
2000,5_1,D,1,5
2000,5_1,E,2,5
2000,5_1,F,1,5
2000,5_1,G,3,5
2000,5_1,H,1,5
2000,5_1,I,0,5
2000,5_1,J,1,5
2000,5_1,SEEDLING,3,5
2000,5_2,A,7,5
2000,5_2,B,7,5
2000,5_2,C,1,5
2000,5_2,D,2,5
2000,5_2,E,1,5
2000,5_2,F,0,5
2000,5_2,G,4,5
2000,5_2,H,2,5
2000,5_2,I,0,5
2000,5_2,J,0,5
2000,5_2,SEEDLING,3,5
2000,5_3,A,0,5
2000,5_3,B,0,5
2000,5_3,C,0,5
2000,5_3,D,0,5
2000,5_3,E,0,5
2000,5_3,F,3,5
2000,5_3,G,1,5
2000,5_3,H,2,5
2000,5_3,I,0,5
2000,5_3,J,0,5
2000,5_3,SEEDLING,0,5
2000,5_4,A,0,5
2000,5_4,B,1,5
2000,5_4,C,2,5
2000,5_4,D,0,5
2000,5_4,E,0,5
2000,5_4,F,0,5
2000,5_4,G,0,5
2000,5_4,H,0,5
2000,5_4,I,1,5
2000,5_4,J,0,5
2000,5_4,SEEDLING,3,5
2000,5_5,A,0,5
2000,5_5,B,2,5
2000,5_5,C,2,5
2000,5_5,D,0,5
2000,5_5,E,0,5
2000,5_5,F,3,5
2000,5_5,G,2,5
2000,5_5,H,0,5
2000,5_5,I,0,5
2000,5_5,J,1,5
2000,5_5,SEEDLING,3,5
2000,5_6,A,5,5
2000,5_6,B,13,5
2000,5_6,C,0,5
2000,5_6,D,1,5
2000,5_6,E,0,5
2000,5_6,F,1,5
2000,5_6,G,0,5
2000,5_6,H,1,5
2000,5_6,I,0,5
2000,5_6,J,0,5
2000,5_6,SEEDLING,3,5
2003,5_1,A,1,5
2003,5_1,B,19,5
2003,5_1,C,20,5
2003,5_1,D,4,5
2003,5_1,E,1,5
2003,5_1,F,5,5
2003,5_1,G,3,5
2003,5_1,H,1,5
2003,5_1,I,0,5
2003,5_1,J,1,5
2003,5_1,SEEDLING,3,5
2003,5_2,A,2,5
2003,5_2,B,23,5
2003,5_2,C,4,5
2003,5_2,D,2,5
2003,5_2,E,1,5
2003,5_2,F,0,5
2003,5_2,G,4,5
2003,5_2,H,2,5
2003,5_2,I,0,5
2003,5_2,J,0,5
2003,5_2,SEEDLING,3,5
2003,5_3,A,0,5
2003,5_3,B,0,5
2003,5_3,C,0,5
2003,5_3,D,0,5
2003,5_3,E,0,5
2003,5_3,F,3,5
2003,5_3,G,1,5
2003,5_3,H,1,5
2003,5_3,I,1,5
2003,5_3,J,0,5
2003,5_3,SEEDLING,2,5
2003,5_4,A,0,5
2003,5_4,B,2,5
2003,5_4,C,3,5
2003,5_4,D,0,5
2003,5_4,E,0,5
2003,5_4,F,0,5
2003,5_4,G,0,5
2003,5_4,H,0,5
2003,5_4,I,1,5
2003,5_4,J,0,5
2003,5_4,SEEDLING,3,5
2003,5_5,A,0,5
2003,5_5,B,1,5
2003,5_5,C,2,5
2003,5_5,D,0,5
2003,5_5,E,0,5
2003,5_5,F,3,5
2003,5_5,G,2,5
2003,5_5,H,0,5
2003,5_5,I,0,5
2003,5_5,J,1,5
2003,5_5,SEEDLING,3,5
2003,5_6,A,0,5
2003,5_6,B,38,5
2003,5_6,C,5,5
2003,5_6,D,0,5
2003,5_6,E,0,5
2003,5_6,F,0,5
2003,5_6,G,0,5
2003,5_6,H,0,5
2003,5_6,I,0,5
2003,5_6,J,0,5
2003,5_6,SEEDLING,3,5
2005,5_1,A,8,5
2005,5_1,B,19,5
2005,5_1,C,29,5
2005,5_1,D,5,5
2005,5_1,E,1,5
2005,5_1,F,3,5
2005,5_1,G,4,5
2005,5_1,H,1,5
2005,5_1,I,0,5
2005,5_1,J,1,5
2005,5_1,SEEDLING,3,5
2005,5_2,A,3,5
2005,5_2,B,15,5
2005,5_2,C,10,5
2005,5_2,D,2,5
2005,5_2,E,1,5
2005,5_2,F,0,5
2005,5_2,G,4,5
2005,5_2,H,2,5
2005,5_2,I,0,5
2005,5_2,J,0,5
2005,5_2,SEEDLING,3,5
2005,5_3,A,1,5
2005,5_3,B,1,5
2005,5_3,C,0,5
2005,5_3,D,0,5
2005,5_3,E,0,5
2005,5_3,F,3,5
2005,5_3,G,1,5
2005,5_3,H,0,5
2005,5_3,I,2,5
2005,5_3,J,0,5
2005,5_3,SEEDLING,2,5
2005,5_4,A,18,5
2005,5_4,B,24,5
2005,5_4,C,7,5
2005,5_4,D,1,5
2005,5_4,E,0,5
2005,5_4,F,0,5
2005,5_4,G,0,5
2005,5_4,H,0,5
2005,5_4,I,1,5
2005,5_4,J,0,5
2005,5_4,SEEDLING,3,5
2005,5_5,A,22,5
2005,5_5,B,3,5
2005,5_5,C,3,5
2005,5_5,D,0,5
2005,5_5,E,0,5
2005,5_5,F,1,5
2005,5_5,G,3,5
2005,5_5,H,0,5
2005,5_5,I,0,5
2005,5_5,J,1,5
2005,5_5,SEEDLING,3,5
2005,5_6,A,7,5
2005,5_6,B,15,5
2005,5_6,C,35,5
2005,5_6,D,0,5
2005,5_6,E,1,5
2005,5_6,F,0,5
2005,5_6,G,1,5
2005,5_6,H,1,5
2005,5_6,I,0,5
2005,5_6,J,0,5
2005,5_6,SEEDLING,1,5
2009,5_1,A,7,5
2009,5_1,B,38,5
2009,5_1,C,32,5
2009,5_1,D,9,5
2009,5_1,E,2,5
2009,5_1,F,2,5
2009,5_1,G,4,5
2009,5_1,H,2,5
2009,5_1,I,0,5
2009,5_1,J,1,5
2009,5_1,SEEDLING,3,5
2009,5_2,A,2,5
2009,5_2,B,20,5
2009,5_2,C,20,5
2009,5_2,D,0,5
2009,5_2,E,1,5
2009,5_2,F,1,5
2009,5_2,G,4,5
2009,5_2,H,1,5
2009,5_2,I,0,5
2009,5_2,J,0,5
2009,5_2,SEEDLING,3,5
2009,5_3,A,0,5
2009,5_3,B,3,5
2009,5_3,C,1,5
2009,5_3,D,0,5
2009,5_3,E,0,5
2009,5_3,F,0,5
2009,5_3,G,1,5
2009,5_3,H,0,5
2009,5_3,I,2,5
2009,5_3,J,0,5
2009,5_3,SEEDLING,2,5
2009,5_4,A,1,5
2009,5_4,B,57,5
2009,5_4,C,22,5
2009,5_4,D,2,5
2009,5_4,E,0,5
2009,5_4,F,0,5
2009,5_4,G,0,5
2009,5_4,H,0,5
2009,5_4,I,0,5
2009,5_4,J,1,5
2009,5_4,SEEDLING,3,5
2009,5_5,A,1,5
2009,5_5,B,61,5
2009,5_5,C,6,5
2009,5_5,D,1,5
2009,5_5,E,0,5
2009,5_5,F,0,5
2009,5_5,G,4,5
2009,5_5,H,1,5
2009,5_5,I,0,5
2009,5_5,J,1,5
2009,5_5,SEEDLING,3,5
2009,5_6,A,1,5
2009,5_6,B,21,5
2009,5_6,C,49,5
2009,5_6,D,0,5
2009,5_6,E,1,5
2009,5_6,F,0,5
2009,5_6,G,2,5
2009,5_6,H,1,5
2009,5_6,I,0,5
2009,5_6,J,0,5
2009,5_6,SEEDLING,3,5
2011,5_1,A,5,5
2011,5_1,B,54,5
2011,5_1,C,34,5
2011,5_1,D,11,5
2011,5_1,E,4,5
2011,5_1,F,0,5
2011,5_1,G,6,5
2011,5_1,H,2,5
2011,5_1,I,0,5
2011,5_1,J,1,5
2011,5_1,SEEDLING,3,5
2011,5_2,A,0,5
2011,5_2,B,32,5
2011,5_2,C,21,5
2011,5_2,D,0,5
2011,5_2,E,1,5
2011,5_2,F,1,5
2011,5_2,G,4,5
2011,5_2,H,1,5
2011,5_2,I,0,5
2011,5_2,J,0,5
2011,5_2,SEEDLING,3,5
2011,5_3,A,0,5
2011,5_3,B,8,5
2011,5_3,C,5,5
2011,5_3,D,0,5
2011,5_3,E,0,5
2011,5_3,F,1,5
2011,5_3,G,2,5
2011,5_3,H,0,5
2011,5_3,I,2,5
2011,5_3,J,0,5
2011,5_3,SEEDLING,1,5
2011,5_4,A,0,5
2011,5_4,B,57,5
2011,5_4,C,41,5
2011,5_4,D,1,5
2011,5_4,E,1,5
2011,5_4,F,0,5
2011,5_4,G,0,5
2011,5_4,H,0,5
2011,5_4,I,0,5
2011,5_4,J,1,5
2011,5_4,SEEDLING,2,5
2011,5_5,A,0,5
2011,5_5,B,109,5
2011,5_5,C,12,5
2011,5_5,D,3,5
2011,5_5,E,0,5
2011,5_5,F,0,5
2011,5_5,G,3,5
2011,5_5,H,1,5
2011,5_5,I,0,5
2011,5_5,J,1,5
2011,5_5,SEEDLING,3,5
2011,5_6,A,3,5
2011,5_6,B,35,5
2011,5_6,C,45,5
2011,5_6,D,2,5
2011,5_6,E,1,5
2011,5_6,F,1,5
2011,5_6,G,1,5
2011,5_6,H,1,5
2011,5_6,I,0,5
2011,5_6,J,0,5
2011,5_6,SEEDLING,3,5
2015,5_1,A,0,5
2015,5_1,B,43,5
2015,5_1,C,46,5
2015,5_1,D,13,5
2015,5_1,E,4,5
2015,5_1,F,2,5
2015,5_1,G,6,5
2015,5_1,H,3,5
2015,5_1,I,0,5
2015,5_1,J,1,5
2015,5_1,SEEDLING,16,5
2015,5_2,A,0,5
2015,5_2,B,31,5
2015,5_2,C,35,5
2015,5_2,D,2,5
2015,5_2,E,1,5
2015,5_2,F,1,5
2015,5_2,G,4,5
2015,5_2,H,1,5
2015,5_2,I,0,5
2015,5_2,J,0,5
2015,5_2,SEEDLING,16,5
2015,5_3,A,0,5
2015,5_3,B,9,5
2015,5_3,C,8,5
2015,5_3,D,1,5
2015,5_3,E,0,5
2015,5_3,F,1,5
2015,5_3,G,1,5
2015,5_3,H,1,5
2015,5_3,I,2,5
2015,5_3,J,0,5
2015,5_3,SEEDLING,2,5
2015,5_4,A,0,5
2015,5_4,B,24,5
2015,5_4,C,71,5
2015,5_4,D,6,5
2015,5_4,E,2,5
2015,5_4,F,0,5
2015,5_4,G,0,5
2015,5_4,H,0,5
2015,5_4,I,0,5
2015,5_4,J,1,5
2015,5_4,SEEDLING,2,5
2015,5_5,A,1,5
2015,5_5,B,86,5
2015,5_5,C,53,5
2015,5_5,D,2,5
2015,5_5,E,1,5
2015,5_5,F,0,5
2015,5_5,G,2,5
2015,5_5,H,2,5
2015,5_5,I,0,5
2015,5_5,J,1,5
2015,5_5,SEEDLING,37,5
2015,5_6,A,0,5
2015,5_6,B,33,5
2015,5_6,C,46,5
2015,5_6,D,11,5
2015,5_6,E,2,5
2015,5_6,F,0,5
2015,5_6,G,2,5
2015,5_6,H,1,5
2015,5_6,I,0,5
2015,5_6,J,0,5
2015,5_6,SEEDLING,35,5
2017,5_1,A,0,5
2017,5_1,B,46,5
2017,5_1,C,49,5
2017,5_1,D,15,5
2017,5_1,E,4,5
2017,5_1,F,2,5
2017,5_1,G,5,5
2017,5_1,H,3,5
2017,5_1,I,0,5
2017,5_1,J,1,5
2017,5_1,SEEDLING,10,5
2017,5_2,A,0,5
2017,5_2,B,40,5
2017,5_2,C,37,5
2017,5_2,D,4,5
2017,5_2,E,1,5
2017,5_2,F,1,5
2017,5_2,G,3,5
2017,5_2,H,2,5
2017,5_2,I,0,5
2017,5_2,J,0,5
2017,5_2,SEEDLING,13,5
2017,5_3,A,0,5
2017,5_3,B,5,5
2017,5_3,C,9,5
2017,5_3,D,3,5
2017,5_3,E,0,5
2017,5_3,F,1,5
2017,5_3,G,1,5
2017,5_3,H,1,5
2017,5_3,I,2,5
2017,5_3,J,0,5
2017,5_3,SEEDLING,0,5
2017,5_4,A,0,5
2017,5_4,B,9,5
2017,5_4,C,68,5
2017,5_4,D,13,5
2017,5_4,E,0,5
2017,5_4,F,1,5
2017,5_4,G,0,5
2017,5_4,H,0,5
2017,5_4,I,0,5
2017,5_4,J,1,5
2017,5_4,SEEDLING,1,5
2017,5_5,A,3,5
2017,5_5,B,89,5
2017,5_5,C,57,5
2017,5_5,D,2,5
2017,5_5,E,2,5
2017,5_5,F,0,5
2017,5_5,G,3,5
2017,5_5,H,2,5
2017,5_5,I,0,5
2017,5_5,J,1,5
2017,5_5,SEEDLING,19,5
2017,5_6,A,0,5
2017,5_6,B,40,5
2017,5_6,C,50,5
2017,5_6,D,13,5
2017,5_6,E,1,5
2017,5_6,F,0,5
2017,5_6,G,2,5
2017,5_6,H,1,5
2017,5_6,I,0,5
2017,5_6,J,0,5
2017,5_6,SEEDLING,23,5
2019,5_1,A,0,5
2019,5_1,B,38,5
2019,5_1,C,53,5
2019,5_1,D,14,5
2019,5_1,E,9,5
2019,5_1,F,2,5
2019,5_1,G,5,5
2019,5_1,H,3,5
2019,5_1,I,0,5
2019,5_1,J,1,5
2019,5_1,SEEDLING,6,5
2019,5_2,A,1,5
2019,5_2,B,35,5
2019,5_2,C,39,5
2019,5_2,D,7,5
2019,5_2,E,1,5
2019,5_2,F,1,5
2019,5_2,G,1,5
2019,5_2,H,2,5
2019,5_2,I,1,5
2019,5_2,J,0,5
2019,5_2,SEEDLING,7,5
2019,5_3,A,0,5
2019,5_3,B,2,5
2019,5_3,C,10,5
2019,5_3,D,4,5
2019,5_3,E,1,5
2019,5_3,F,0,5
2019,5_3,G,1,5
2019,5_3,H,1,5
2019,5_3,I,1,5
2019,5_3,J,0,5
2019,5_3,SEEDLING,0,5
2019,5_4,A,0,5
2019,5_4,B,11,5
2019,5_4,C,61,5
2019,5_4,D,22,5
2019,5_4,E,2,5
2019,5_4,F,1,5
2019,5_4,G,0,5
2019,5_4,H,0,5
2019,5_4,I,0,5
2019,5_4,J,0,5
2019,5_4,SEEDLING,0,5
2019,5_5,A,2,5
2019,5_5,B,60,5
2019,5_5,C,75,5
2019,5_5,D,3,5
2019,5_5,E,2,5
2019,5_5,F,0,5
2019,5_5,G,2,5
2019,5_5,H,2,5
2019,5_5,I,0,5
2019,5_5,J,1,5
2019,5_5,SEEDLING,9,5
2019,5_6,A,4,5
2019,5_6,B,33,5
2019,5_6,C,48,5
2019,5_6,D,16,5
2019,5_6,E,2,5
2019,5_6,F,0,5
2019,5_6,G,1,5
2019,5_6,H,1,5
2019,5_6,I,0,5
2019,5_6,J,0,5
2019,5_6,SEEDLING,12,5
