PRES,BU,PLOT,BP,SIZE,SIZE(noCM),STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,GROUPS,STEMSraw
ABRP,1,1,1_1,SEEDLING,SEEDLING,2,37119,2001,35194,1996,PBH (0 - 2.5),2
ABRP,1,2,1_2,SEEDLING,SEEDLING,1,37120,2001,35194,1996,PBH (0 - 2.5),1
ABRP,1,3,1_3,SEEDLING,SEEDLING,3,37120,2001,35194,1996,PBH (0 - 2.5),3
ABRP,1,4,1_4,SEEDLING,SEEDLING,3,37124,2001,35194,1996,PBH (0 - 2.5),3
ABRP,1,5,1_5,SEEDLING,SEEDLING,3,37124,2001,35194,1996,PBH (0 - 2.5),3
ABRP,1,6,1_6,SEEDLING,SEEDLING,3,37125,2001,35194,1996,PBH (0 - 2.5),3
ABRP,1,7,1_7,SEEDLING,SEEDLING,3,37125,2001,35194,1996,PBH (0 - 2.5),3
ABRP,1,8,1_8,SEEDLING,SEEDLING,3,37125,2001,35194,1996,PBH (0 - 2.5),3
ABRP,1,9,1_9,SEEDLING,SEEDLING,3,37127,2001,35194,1996,PBH (0 - 2.5),3
ABRP,1,1,1_1,SEEDLING,SEEDLING,3,38582,2005,38188,2004,PBH (0 - 2.5),3
ABRP,1,2,1_2,SEEDLING,SEEDLING,1,38582,2005,38188,2004,PBH (0 - 2.5),1
ABRP,1,3,1_3,SEEDLING,SEEDLING,3,38583,2005,38188,2004,PBH (0 - 2.5),3
ABRP,1,4,1_4,SEEDLING,SEEDLING,3,38583,2005,38188,2004,PBH (0 - 2.5),3
ABRP,1,5,1_5,SEEDLING,SEEDLING,3,38583,2005,38188,2004,PBH (0 - 2.5),3
ABRP,1,6,1_6,SEEDLING,SEEDLING,2,38588,2005,38188,2004,PBH (0 - 2.5),2
ABRP,1,7,1_7,SEEDLING,SEEDLING,3,38588,2005,38188,2004,PBH (0 - 2.5),3
ABRP,1,9,1_9,SEEDLING,SEEDLING,3,38591,2005,38188,2004,PBH (0 - 2.5),3
ABRP,1,1,1_1,SEEDLING,SEEDLING,3,39331,2007,2006,2006,PBH (0 - 2.5),3
ABRP,1,2,1_2,SEEDLING,SEEDLING,1,39331,2007,2006,2006,PBH (0 - 2.5),1
ABRP,1,3,1_3,SEEDLING,SEEDLING,3,39335,2007,2006,2006,PBH (0 - 2.5),3
ABRP,1,4,1_4,SEEDLING,SEEDLING,3,39335,2007,2006,2006,PBH (0 - 2.5),3
ABRP,1,5,1_5,SEEDLING,SEEDLING,3,39337,2007,2006,2006,PBH (0 - 2.5),3
ABRP,1,6,1_6,SEEDLING,SEEDLING,2,39343,2007,2006,2006,PBH (0 - 2.5),2
ABRP,1,7,1_7,SEEDLING,SEEDLING,3,39342,2007,2006,2006,PBH (0 - 2.5),3
ABRP,1,8,1_8,SEEDLING,SEEDLING,3,39342,2007,2006,2006,PBH (0 - 2.5),3
ABRP,1,9,1_9,SEEDLING,SEEDLING,3,39343,2007,2006,2006,PBH (0 - 2.5),3
ABRP,1,1,1_1,SEEDLING,SEEDLING,2,40028,2009,39604,2008,PBH (0 - 2.5),2
ABRP,1,2,1_2,SEEDLING,SEEDLING,1,40028,2009,39604,2008,PBH (0 - 2.5),1
ABRP,1,3,1_3,SEEDLING,SEEDLING,3,40028,2009,39604,2008,PBH (0 - 2.5),3
ABRP,1,4,1_4,SEEDLING,SEEDLING,3,40028,2009,39604,2008,PBH (0 - 2.5),3
ABRP,1,5,1_5,SEEDLING,SEEDLING,3,40029,2009,39604,2008,PBH (0 - 2.5),3
ABRP,1,6,1_6,SEEDLING,SEEDLING,2,40029,2009,39604,2008,PBH (0 - 2.5),2
ABRP,1,7,1_7,SEEDLING,SEEDLING,3,40029,2009,39604,2008,PBH (0 - 2.5),3
ABRP,1,8,1_8,SEEDLING,SEEDLING,3,40029,2009,39604,2008,PBH (0 - 2.5),3
ABRP,1,9,1_9,SEEDLING,SEEDLING,3,40024,2009,39604,2008,PBH (0 - 2.5),3
ABRP,1,1,1_1,SEEDLING,SEEDLING,1,41144,2012,2011,2011,PBH (0 - 2.5),1
ABRP,1,2,1_2,SEEDLING,SEEDLING,1,41143,2012,2011,2011,PBH (0 - 2.5),1
ABRP,1,3,1_3,SEEDLING,SEEDLING,2,41143,2012,2011,2011,PBH (0 - 2.5),13
ABRP,1,4,1_4,SEEDLING,SEEDLING,2,41143,2012,2011,2011,PBH (0 - 2.5),8
ABRP,1,5,1_5,SEEDLING,SEEDLING,1,41143,2012,2011,2011,PBH (0 - 2.5),2
ABRP,1,6,1_6,SEEDLING,SEEDLING,1,41142,2012,2011,2011,PBH (0 - 2.5),1
ABRP,1,7,1_7,SEEDLING,SEEDLING,1,41142,2012,2011,2011,PBH (0 - 2.5),2
ABRP,1,8,1_8,SEEDLING,SEEDLING,1,41144,2012,2011,2011,PBH (0 - 2.5),1
ABRP,1,9,1_9,SEEDLING,SEEDLING,1,41142,2012,2011,2011,PBH (0 - 2.5),3
ABRP,1,1,1_1,SEEDLING,SEEDLING,3,41947,2014,2013,2013,PBH (0 - 2.5),35
ABRP,1,2,1_2,SEEDLING,SEEDLING,3,41949,2014,2013,2013,PBH (0 - 2.5),33
ABRP,1,3,1_3,SEEDLING,SEEDLING,2,41949,2014,2013,2013,PBH (0 - 2.5),6
ABRP,1,4,1_4,SEEDLING,SEEDLING,1,41948,2014,2013,2013,PBH (0 - 2.5),3
ABRP,1,5,1_5,SEEDLING,SEEDLING,2,41949,2014,2013,2013,PBH (0 - 2.5),6
ABRP,1,6,1_6,SEEDLING,SEEDLING,1,41947,2014,2013,2013,PBH (0 - 2.5),1
ABRP,1,7,1_7,SEEDLING,SEEDLING,2,41948,2014,2013,2013,PBH (0 - 2.5),6
ABRP,1,8,1_8,SEEDLING,SEEDLING,0,41947,2014,2013,2013,PBH (0 - 2.5),0
ABRP,1,9,1_9,SEEDLING,SEEDLING,2,41947,2014,2013,2013,PBH (0 - 2.5),6
ABRP,1,1,1_1,SEEDLING,SEEDLING,3,42947,2017,2016,2016,PBH (0 - 2.5),153
ABRP,1,2,1_2,SEEDLING,SEEDLING,3,42954,2017,2016,2016,PBH (0 - 2.5),156
ABRP,1,3,1_3,SEEDLING,SEEDLING,1,42955,2017,2016,2016,PBH (0 - 2.5),1
ABRP,1,4,1_4,SEEDLING,SEEDLING,1,42955,2017,2016,2016,PBH (0 - 2.5),1
ABRP,1,5,1_5,SEEDLING,SEEDLING,1,42957,2017,2016,2016,PBH (0 - 2.5),2
ABRP,1,6,1_6,SEEDLING,SEEDLING,1,42958,2017,2016,2016,PBH (0 - 2.5),1
ABRP,1,7,1_7,SEEDLING,SEEDLING,1,42958,2017,2016,2016,PBH (0 - 2.5),5
ABRP,1,8,1_8,SEEDLING,SEEDLING,0,42962,2017,2016,2016,PBH (0 - 2.5),0
ABRP,1,9,1_9,SEEDLING,SEEDLING,1,42956,2017,2016,2016,PBH (0 - 2.5),4
ABRP,5,1,5_1,SEEDLING,SEEDLING,3,34887,1995,34067,1993,PBH (0 - 2.5),3
ABRP,5,2,5_2,SEEDLING,SEEDLING,3,34887,1995,34067,1993,PBH (0 - 2.5),3
ABRP,5,3,5_3,SEEDLING,SEEDLING,1,34898,1995,34067,1993,PBH (0 - 2.5),1
ABRP,5,4,5_4,SEEDLING,SEEDLING,1,34897,1995,34067,1993,PBH (0 - 2.5),1
ABRP,5,5,5_5,SEEDLING,SEEDLING,2,34885,1995,34067,1993,PBH (0 - 2.5),2
ABRP,5,6,5_6,SEEDLING,SEEDLING,3,34892,1995,34067,1993,PBH (0 - 2.5),3
ABRP,5,1,5_1,SEEDLING,SEEDLING,3,35653,1997,35201,1996,PBH (0 - 2.5),3
ABRP,5,2,5_2,SEEDLING,SEEDLING,3,35653,1997,35201,1996,PBH (0 - 2.5),3
ABRP,5,3,5_3,SEEDLING,SEEDLING,1,35654,1997,35201,1996,PBH (0 - 2.5),1
ABRP,5,4,5_4,SEEDLING,SEEDLING,3,35654,1997,35201,1996,PBH (0 - 2.5),3
ABRP,5,5,5_5,SEEDLING,SEEDLING,3,35654,1997,35201,1996,PBH (0 - 2.5),3
ABRP,5,6,5_6,SEEDLING,SEEDLING,3,35654,1997,35201,1996,PBH (0 - 2.5),3
ABRP,5,1,5_1,SEEDLING,SEEDLING,3,36747,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),3
ABRP,5,2,5_2,SEEDLING,SEEDLING,3,36747,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),3
ABRP,5,3,5_3,SEEDLING,SEEDLING,0,36748,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),0
ABRP,5,4,5_4,SEEDLING,SEEDLING,3,36752,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),3
ABRP,5,5,5_5,SEEDLING,SEEDLING,3,36742,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),3
ABRP,5,6,5_6,SEEDLING,SEEDLING,3,36746,2000,"5/11/1999, 5/13/1999",1999,PBH (0 - 2.5),3
ABRP,5,1,5_1,SEEDLING,SEEDLING,3,37840,2003,37400,2002,PBH (0 - 2.5),3
ABRP,5,2,5_2,SEEDLING,SEEDLING,3,37840,2003,37400,2002,PBH (0 - 2.5),3
ABRP,5,3,5_3,SEEDLING,SEEDLING,2,37846,2003,37400,2002,PBH (0 - 2.5),2
ABRP,5,4,5_4,SEEDLING,SEEDLING,3,37875,2003,37400,2002,PBH (0 - 2.5),3
ABRP,5,5,5_5,SEEDLING,SEEDLING,3,37881,2003,37400,2002,PBH (0 - 2.5),3
ABRP,5,6,5_6,SEEDLING,SEEDLING,3,37887,2003,37400,2002,PBH (0 - 2.5),3
ABRP,5,4,5_4,SEEDLING,SEEDLING,3,38598,2005,38120,2004,PBH (0 - 2.5),3
ABRP,5,3,5_3,SEEDLING,SEEDLING,2,38598,2005,38120,2004,PBH (0 - 2.5),2
ABRP,5,2,5_2,SEEDLING,SEEDLING,3,38598,2005,38120,2004,PBH (0 - 2.5),3
ABRP,5,6,5_6,SEEDLING,SEEDLING,1,38607,2005,38120,2004,PBH (0 - 2.5),1
ABRP,5,5,5_5,SEEDLING,SEEDLING,3,38607,2005,38120,2004,PBH (0 - 2.5),3
ABRP,5,1,5_1,SEEDLING,SEEDLING,3,38607,2005,38120,2004,PBH (0 - 2.5),3
ABRP,5,1,5_1,SEEDLING,SEEDLING,3,40017,2009,39651,2008,PBH (0 - 2.5),3
ABRP,5,2,5_2,SEEDLING,SEEDLING,3,40017,2009,39651,2008,PBH (0 - 2.5),3
ABRP,5,3,5_3,SEEDLING,SEEDLING,2,40017,2009,39651,2008,PBH (0 - 2.5),2
ABRP,5,4,5_4,SEEDLING,SEEDLING,3,40021,2009,39651,2008,PBH (0 - 2.5),3
ABRP,5,5,5_5,SEEDLING,SEEDLING,3,40018,2009,39651,2008,PBH (0 - 2.5),3
ABRP,5,6,5_6,SEEDLING,SEEDLING,3,40017,2009,39651,2008,PBH (0 - 2.5),3
ABRP,5,1,5_1,SEEDLING,SEEDLING,3,40812,2011,2010,2010,PBH (0 - 2.5),3
ABRP,5,2,5_2,SEEDLING,SEEDLING,3,40813,2011,2010,2010,PBH (0 - 2.5),3
ABRP,5,3,5_3,SEEDLING,SEEDLING,1,40813,2011,2010,2010,PBH (0 - 2.5),1
ABRP,5,4,5_4,SEEDLING,SEEDLING,2,40813,2011,2010,2010,PBH (0 - 2.5),2
ABRP,5,5,5_5,SEEDLING,SEEDLING,3,40814,2011,2010,2010,PBH (0 - 2.5),3
ABRP,5,6,5_6,SEEDLING,SEEDLING,3,40814,2011,2010,2010,PBH (0 - 2.5),3
ABRP,5,1,5_1,SEEDLING,SEEDLING,2,42251,2015,2013,2013,PBH (0 - 2.5),16
ABRP,5,2,5_2,SEEDLING,SEEDLING,2,42258,2015,2014,2014,PBH (0 - 2.5),16
ABRP,5,3,5_3,SEEDLING,SEEDLING,1,42256,2015,2014,2014,PBH (0 - 2.5),2
ABRP,5,4,5_4,SEEDLING,SEEDLING,1,42258,2015,2014,2014,PBH (0 - 2.5),2
ABRP,5,5,5_5,SEEDLING,SEEDLING,3,42245,2015,2014,2014,PBH (0 - 2.5),37
ABRP,5,6,5_6,SEEDLING,SEEDLING,3,42247,2015,2014,2014,PBH (0 - 2.5),35
ABRP,5,1,5_1,SEEDLING,SEEDLING,2,42971,2017,2016,2016,PBH (0 - 2.5),10
ABRP,5,2,5_2,SEEDLING,SEEDLING,2,42972,2017,2016,2016,PBH (0 - 2.5),13
ABRP,5,3,5_3,SEEDLING,SEEDLING,0,42976,2017,2016,2016,PBH (0 - 2.5),0
ABRP,5,4,5_4,SEEDLING,SEEDLING,1,42977,2017,2016,2016,PBH (0 - 2.5),1
ABRP,5,5,5_5,SEEDLING,SEEDLING,2,42970,2017,2016,2016,PBH (0 - 2.5),19
ABRP,5,6,5_6,SEEDLING,SEEDLING,3,42971,2017,2016,2016,PBH (0 - 2.5),23
ABRP,5,1,5_1,SEEDLING,SEEDLING,2,43655,2019,2018,2018,PBH (0 - 2.5),6
ABRP,5,2,5_2,SEEDLING,SEEDLING,2,43655,2019,2018,2018,PBH (0 - 2.5),7
ABRP,5,3,5_3,SEEDLING,SEEDLING,0,43656,2019,2018,2018,PBH (0 - 2.5),0
ABRP,5,4,5_4,SEEDLING,SEEDLING,0,43656,2019,2018,2018,PBH (0 - 2.5),0
ABRP,5,5,5_5,SEEDLING,SEEDLING,2,43657,2019,2018,2018,PBH (0 - 2.5),9
ABRP,5,6,5_6,SEEDLING,SEEDLING,2,43657,2019,2018,2018,PBH (0 - 2.5),12
ABRP,7,1,7_1,SEEDLING,SEEDLING,3,35277,1996,34454,1994,PBH (0 - 2.5),3
ABRP,7,2,7_2,SEEDLING,SEEDLING,3,35278,1996,34454,1994,PBH (0 - 2.5),3
ABRP,7,3,7_3,SEEDLING,SEEDLING,3,35279,1996,34454,1994,PBH (0 - 2.5),3
ABRP,7,4,7_4,SEEDLING,SEEDLING,1,35282,1996,34454,1994,PBH (0 - 2.5),1
ABRP,7,5,7_5,SEEDLING,SEEDLING,3,35299,1996,34454,1994,PBH (0 - 2.5),3
ABRP,7,6,7_6,SEEDLING,SEEDLING,3,35282,1996,34454,1994,PBH (0 - 2.5),3
ABRP,7,7,7_7,SEEDLING,SEEDLING,2,35284,1996,34454,1994,PBH (0 - 2.5),2
ABRP,7,8,7_8,SEEDLING,SEEDLING,2,35285,1996,34454,1994,PBH (0 - 2.5),2
ABRP,7,1,7_1,SEEDLING,SEEDLING,2,37112,2001,36567,2000,PBH (0 - 2.5),2
ABRP,7,2,7_2,SEEDLING,SEEDLING,2,37110,2001,36567,2000,PBH (0 - 2.5),2
ABRP,7,3,7_3,SEEDLING,SEEDLING,2,37110,2001,36567,2000,PBH (0 - 2.5),2
ABRP,7,4,7_4,SEEDLING,SEEDLING,1,37113,2001,36567,2000,PBH (0 - 2.5),1
ABRP,7,5,7_5,SEEDLING,SEEDLING,2,37112,2001,36567,2000,PBH (0 - 2.5),2
ABRP,7,6,7_6,SEEDLING,SEEDLING,3,37113,2001,36567,2000,PBH (0 - 2.5),3
ABRP,7,7,7_7,SEEDLING,SEEDLING,1,37118,2001,36567,2000,PBH (0 - 2.5),1
ABRP,7,8,7_8,SEEDLING,SEEDLING,1,37119,2001,36567,2000,PBH (0 - 2.5),1
ABRP,7,1,7_1,SEEDLING,SEEDLING,2,38216,2004,37733,2003,PBH (0 - 2.5),2
ABRP,7,2,7_2,SEEDLING,SEEDLING,2,38226,2004,37733,2003,PBH (0 - 2.5),2
ABRP,7,3,7_3,SEEDLING,SEEDLING,1,38218,2004,37733,2003,PBH (0 - 2.5),1
ABRP,7,4,7_4,SEEDLING,SEEDLING,1,38229,2004,37733,2003,PBH (0 - 2.5),1
ABRP,7,5,7_5,SEEDLING,SEEDLING,2,38230,2004,37733,2003,PBH (0 - 2.5),2
ABRP,7,6,7_6,SEEDLING,SEEDLING,3,38227,2004,37733,2003,PBH (0 - 2.5),3
ABRP,7,7,7_7,SEEDLING,SEEDLING,2,38229,2004,37733,2003,PBH (0 - 2.5),2
ABRP,7,8,7_8,SEEDLING,SEEDLING,1,38253,2004,37733,2003,PBH (0 - 2.5),1
ABRP,7,4,7_4,SEEDLING,SEEDLING,0,39681,2008,2006,2006,PBH (0 - 2.5),0
ABRP,7,3,7_3,SEEDLING,SEEDLING,1,39681,2008,2006,2006,PBH (0 - 2.5),1
ABRP,7,2,7_2,SEEDLING,SEEDLING,1,39681,2008,2006,2006,PBH (0 - 2.5),1
ABRP,7,1,7_1,SEEDLING,SEEDLING,1,39680,2008,2006,2006,PBH (0 - 2.5),1
ABRP,7,8,7_8,SEEDLING,SEEDLING,0,39680,2008,2006,2006,PBH (0 - 2.5),0
ABRP,7,8,7_8,SEEDLING,SEEDLING,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,7,7_7,SEEDLING,SEEDLING,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,6,7_6,SEEDLING,SEEDLING,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,4,7_4,SEEDLING,SEEDLING,0,40030,2009,Bull-Dozed 2007,2007,PBH (0 - 2.5),0
ABRP,7,1,7_1,SEEDLING,SEEDLING,1,40379,2010,39965,2009,PBH (0 - 2.5),1
ABRP,7,2,7_2,SEEDLING,SEEDLING,1,40378,2010,39965,2009,PBH (0 - 2.5),1
ABRP,7,3,7_3,SEEDLING,SEEDLING,1,40378,2010,39965,2009,PBH (0 - 2.5),1
ABRP,7,5,7_5,SEEDLING,SEEDLING,1,40379,2010,39965,2009,PBH (0 - 2.5),1
ABRP,7,1,7_1,SEEDLING,SEEDLING,1,41137,2012,2011,2011,PBH (0 - 2.5),1
ABRP,7,2,7_2,SEEDLING,SEEDLING,1,41137,2012,2011,2011,PBH (0 - 2.5),1
ABRP,7,3,7_3,SEEDLING,SEEDLING,1,41137,2012,2011,2011,PBH (0 - 2.5),1
ABRP,7,5,7_5,SEEDLING,SEEDLING,1,41137,2012,2011,2011,PBH (0 - 2.5),3
ABRP,7,6,7_6,SEEDLING,SEEDLING,1,41169,2012,2011,2011,PBH (0 - 2.5),2
ABRP,7,7,7_7,SEEDLING,SEEDLING,1,41142,2012,2011,2011,PBH (0 - 2.5),3
ABRP,7,8,7_8,SEEDLING,SEEDLING,1,41142,2012,2011,2011,PBH (0 - 2.5),3
ABRP,7,1,7_1,SEEDLING,SEEDLING,1,42235,2015,2014,2014,PBH (0 - 2.5),3
ABRP,7,2,7_2,SEEDLING,SEEDLING,2,42237,2015,2014,2014,PBH (0 - 2.5),13
ABRP,7,3,7_3,SEEDLING,SEEDLING,2,42235,2015,2014,2014,PBH (0 - 2.5),12
ABRP,7,4,7_4,SEEDLING,SEEDLING,2,42245,2015,2014,2014,PBH (0 - 2.5),6
ABRP,7,5,7_5,SEEDLING,SEEDLING,2,42236,2015,2014,2014,PBH (0 - 2.5),9
ABRP,7,6,7_6,SEEDLING,SEEDLING,3,42244,2015,2014,2014,PBH (0 - 2.5),21
ABRP,7,7,7_7,SEEDLING,SEEDLING,3,42243,2015,2014,2014,PBH (0 - 2.5),296
ABRP,7,8,7_8,SEEDLING,SEEDLING,3,41946,2014,2014,2014,PBH (0 - 2.5),301
ABRP,7,1,7_1,SEEDLING,SEEDLING,2,42965,2017,2016,2016,PBH (0 - 2.5),14
ABRP,7,2,7_2,SEEDLING,SEEDLING,3,42968,2017,2016,2016,PBH (0 - 2.5),21
ABRP,7,3,7_3,SEEDLING,SEEDLING,2,42969,2017,2016,2016,PBH (0 - 2.5),18
ABRP,7,4,7_4,SEEDLING,SEEDLING,1,42977,2017,2016,2016,PBH (0 - 2.5),5
ABRP,7,5,7_5,SEEDLING,SEEDLING,2,42969,2017,2016,2016,PBH (0 - 2.5),12
ABRP,7,6,7_6,SEEDLING,SEEDLING,2,42998,2017,2016,2016,PBH (0 - 2.5),19
ABRP,7,7,7_7,SEEDLING,SEEDLING,3,42963,2017,2016,2016,PBH (0 - 2.5),421
ABRP,7,8,7_8,SEEDLING,SEEDLING,3,42964,2017,2016,2016,PBH (0 - 2.5),512
ABRP,7,1,7_1,SEEDLING,SEEDLING,1,43658,2019,2018,2018,PBH (0 - 2.5),4
ABRP,7,2,7_2,SEEDLING,SEEDLING,2,43658,2019,2018,2018,PBH (0 - 2.5),7
ABRP,7,3,7_3,SEEDLING,SEEDLING,1,,2019,2018,2018,PBH (0 - 2.5),4
ABRP,7,4,7_4,SEEDLING,SEEDLING,1,43668,2019,2018,2018,PBH (0 - 2.5),4
ABRP,7,5,7_5,SEEDLING,SEEDLING,2,,2019,2018,2018,PBH (0 - 2.5),6
ABRP,7,6,7_6,SEEDLING,SEEDLING,3,43668,2019,2018,2018,PBH (0 - 2.5),22
ABRP,7,7,7_7,SEEDLING,SEEDLING,3,43662,2019,2018,2018,PBH (0 - 2.5),207
ABRP,7,8,7_8,SEEDLING,SEEDLING,3,43662,2019,2018,2018,PBH (0 - 2.5),269
ABRP,7,1,7_1,SEEDLING,SEEDLING,2,44064,2020,2019,2019,PBH (0 - 2.5),10
ABRP,7,2,7_2,SEEDLING,SEEDLING,2,44063,2020,2019,2019,PBH (0 - 2.5),13
ABRP,7,3,7_3,SEEDLING,SEEDLING,2,44063,2020,2019,2019,PBH (0 - 2.5),6
ABRP,7,4,7_4,SEEDLING,SEEDLING,1,44062,2020,2019,2019,PBH (0 - 2.5),2
ABRP,7,5,7_5,SEEDLING,SEEDLING,1,44063,2020,2019,2019,PBH (0 - 2.5),4
ABRP,7,6,7_6,SEEDLING,SEEDLING,2,44062,2020,2019,2019,PBH (0 - 2.5),8
ABRP,7,7,7_7,SEEDLING,SEEDLING,3,44061,2020,2019,2019,PBH (0 - 2.5),114
ABRP,7,8,7_8,SEEDLING,SEEDLING,3,44064,2020,2019,2019,PBH (0 - 2.5),142
ABRP,12,1,12_1,SEEDLING,SEEDLING,1,36028,1998,35188,1996,PBH (0 - 2.5),1
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,36028,1998,35188,1996,PBH (0 - 2.5),3
ABRP,12,1,12_1,SEEDLING,SEEDLING,0,36741,2000,36294,1999,PBH (0 - 2.5),0
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,36739,2000,36294,1999,PBH (0 - 2.5),3
ABRP,12,1,12_1,SEEDLING,SEEDLING,1,37870,2003,37398,2002,PBH (0 - 2.5),1
ABRP,12,2,12_2,SEEDLING,SEEDLING,2,37862,2003,37398,2002,PBH (0 - 2.5),2
ABRP,12,1,12_1,SEEDLING,SEEDLING,3,38579,2005,38114,2004,PBH (0 - 2.5),3
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,38591,2005,38114,2004,PBH (0 - 2.5),3
ABRP,12,1,12_1,SEEDLING,SEEDLING,2,40021,2009,39573,2008,PBH (0 - 2.5),2
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,40021,2009,39573,2008,PBH (0 - 2.5),3
ABRP,12,1,12_1,SEEDLING,SEEDLING,1,40816,2011,2010,2010,PBH (0 - 2.5),1
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,40815,2011,2010,2010,PBH (0 - 2.5),3
ABRP,12,1,12_1,SEEDLING,SEEDLING,2,42248,2015,2014,2014,PBH (0 - 2.5),10
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,42228,2015,2014,2014,PBH (0 - 2.5),53
ABRP,12,1,12_1,SEEDLING,SEEDLING,3,43669,2019,2018,2018,PBH (0 - 2.5),30
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,43669,2019,2018,2018,PBH (0 - 2.5),44
ABRP,13,1,13_1,SEEDLING,SEEDLING,0,36741,2000,36294,1999,PBH (0 - 2.5),0
ABRP,13,1,13_1,SEEDLING,SEEDLING,1,37870,2003,37398,2002,PBH (0 - 2.5),1
ABRP,13,1,13_1,SEEDLING,SEEDLING,3,38579,2005,38114,2004,PBH (0 - 2.5),3
ABRP,13,1,13_1,SEEDLING,SEEDLING,2,40373,2010,39965,2009,PBH (0 - 2.5),2
ABRP,13,1,13_1,SEEDLING,SEEDLING,2,42249,2015,2014,2014,PBH (0 - 2.5),13
ABRP,13,1,13_1,SEEDLING,SEEDLING,3,43671,2019,2018,2018,PBH (0 - 2.5),21
ABRP,15,1,15_1,SEEDLING,SEEDLING,2,35653,1997,35188,1996,PBH (0 - 2.5),2
ABRP,15,1,15_1,SEEDLING,SEEDLING,2,36738,2000,36294,1999,PBH (0 - 2.5),2
ABRP,15,1,15_1,SEEDLING,SEEDLING,2,37862,2003,37398,2002,PBH (0 - 2.5),2
ABRP,15,1,15_1,SEEDLING,SEEDLING,3,38591,2005,38114,2004,PBH (0 - 2.5),3
ABRP,15,1,15_1,SEEDLING,SEEDLING,1,39679,2008,2006,2006,PBH (0 - 2.5),1
ABRP,15,1,15_1,SEEDLING,SEEDLING,2,40372,2010,39965,2009,PBH (0 - 2.5),2
ABRP,15,1,15_1,SEEDLING,SEEDLING,2,42234,2015,2014,2014,PBH (0 - 2.5),16
ABRP,15,1,15_1,SEEDLING,SEEDLING,3,43320,2018,2017,2017,PBH (0 - 2.5),379
ABRP,15,1,15_1,SEEDLING,SEEDLING,1,44049,2020,2019,2019,PBH (0 - 2.5),2
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,35285,1996,34460,1994,PBH (0 - 2.5),1
ABRP,21,2,21_2,SEEDLING,SEEDLING,1,35286,1996,34460,1994,PBH (0 - 2.5),1
ABRP,21,3,21_3,SEEDLING,SEEDLING,2,35292,1996,34460,1994,PBH (0 - 2.5),2
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,36031,1998,35577,1997,PBH (0 - 2.5),1
ABRP,21,2,21_2,SEEDLING,SEEDLING,2,36031,1998,35577,1997,PBH (0 - 2.5),2
ABRP,21,3,21_3,SEEDLING,SEEDLING,2,36032,1998,35577,1997,PBH (0 - 2.5),2
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,37105,2001,36655,2000,PBH (0 - 2.5),1
ABRP,21,2,21_2,SEEDLING,SEEDLING,1,37106,2001,36655,2000,PBH (0 - 2.5),1
ABRP,21,3,21_3,SEEDLING,SEEDLING,1,37106,2001,36655,2000,PBH (0 - 2.5),1
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,37853,2003,37399,2002,PBH (0 - 2.5),1
ABRP,21,2,21_2,SEEDLING,SEEDLING,1,37853,2003,37399,2002,PBH (0 - 2.5),1
